"term","Retatrutide_n","Retatrutide_percent","GLP1_n","GLP1_percent"
"Increased appetite / hunger / food craving / lack of satiety",1921,24.56,0,0
"Fatigue",1188,15.19,4870,16.7
"Energy increased",970,12.4,0,0
"Nausea",907,11.59,10764,36.9
"Insomnia",475,6.07,0,0
"Heart rate increased",374,4.78,0,0
"Constipation",354,4.53,4463,15.3
"Diarrhoea",345,4.41,3686,12.6
"Abdominal distension",331,4.23,0,0
"Malaise",318,4.06,0,0
