hlt_code,n_users,hlt_term,percent_users
10024624,17,Lipoprotein and lipid tests NEC,0.22
10052731,17,Nervous system therapeutic procedures NEC,0.22
10034005,17,Parkinson's disease and parkinsonism,0.22
10042454,17,Sugar intolerance (excl glucose intolerance),0.22
10013929,16,Dyskinesias and movement disorders NEC,0.2
10049179,16,Urinary tract function analyses NEC,0.2
10038454,16,Renal function analyses,0.2
10015151,16,Erythemas,0.2
10027434,16,Metabolism tests NEC,0.2
10065877,15,Dietary and nutritional therapies,0.19
10040837,15,Skin dystrophies,0.19
10034640,14,"Peripheral vasoconstriction, necrosis and vascular insufficiency",0.18
10010301,14,Confusion and disorientation,0.18
10002118,14,Anal and rectal signs and symptoms,0.18
10022528,14,Interactions,0.18
10036998,14,Protein analyses NEC,0.18
10068761,14,Anxiety disorders NEC,0.18
10001339,13,Adrenal cortex tests,0.17
10017967,13,Abdominal and gastrointestinal infections,0.17
10029285,13,Neurologic diagnostic procedures,0.17
10028736,13,Nasal congestion and inflammations,0.17
10043234,13,Tendon disorders,0.17
10017854,13,Gastritis (excl infective),0.17
10000196,12,Urinary abnormalities,0.15
10017927,12,Gastrointestinal and hepatobiliary procedural complications,0.15
10042459,12,Suicidal and self-injurious behaviour,0.15
10038443,12,Renal failure and impairment,0.15
10001737,12,"Allergies to foods, food additives, drugs and other chemicals",0.15
10030032,11,Ocular disorders NEC,0.14
10042211,11,Stress disorders,0.14
10043905,11,Tobacco use,0.14
10037555,11,Purpura and related conditions,0.14
10027637,10,Mineral and electrolyte analyses,0.13
10035777,10,Poisoning and toxicity,0.13
10017963,10,Gastrointestinal and abdominal imaging procedures,0.13
10034607,10,Peripheral neuropathies NEC,0.13
10031021,9,Oral soft tissue signs and symptoms,0.12
10024976,9,Lower respiratory tract signs and symptoms,0.12
10029511,9,Non-site specific injuries NEC,0.12
10002185,9,Analgesia supportive care,0.12
10057196,9,Administration site reactions NEC,0.12
10028685,9,Nail and nail bed conditions (excl infections and infestations),0.12
10035089,9,Pituitary analyses anterior,0.12
10057171,9,Disability issues,0.12
10047283,9,Ventricular arrhythmias and cardiac arrest,0.12
10013470,8,Dissociative states,0.1
10040794,8,Skin and subcutaneous tissue therapeutic procedures NEC,0.1
10044694,8,Trophic disorders,0.1
10012981,8,Digestive enzymes,0.1
10043692,8,Thyroid analyses,0.1
10052559,8,Fluid intake decreased,0.1
10008431,8,Chemistry analyses NEC,0.1
10043891,8,Tissue enzyme analyses NEC,0.1
10017578,8,Gait disturbances,0.1
10041288,8,Soft tissue disorders NEC,0.1
10027917,8,Mononeuropathies,0.1
10013500,8,Disturbances in sleep phase rhythm,0.1
10019972,7,Herpes viral infections,0.09
10011233,7,Coughing and associated symptoms,0.09
10028640,7,Myopathies,0.09
10014693,7,Endocrine analyses and imaging NEC,0.09
10020863,7,Hypertrichoses,0.09
10042356,7,Skin and subcutaneous conditions NEC,0.09
10052734,7,Psychiatric therapies,0.09
10031086,7,Orgasmic disorders and disturbances,0.09
10028288,7,"Muscle, tendon and ligament injuries",0.09
10028731,7,Nasal disorders NEC,0.09
10014476,7,Elevated cholesterol,0.09
10047067,7,Non-site specific vascular disorders NEC,0.09
10077550,6,Varicose veins NEC,0.08
10040870,6,Skin hypoplasias and atrophies,0.08
10029294,6,Neurological and psychiatric procedural complications,0.08
10003839,6,Autonomic nervous system disorders,0.08
10014486,6,Elevated triglycerides,0.08
10052767,6,Breast signs and symptoms,0.08
10020713,6,Hyperpigmentation disorders,0.08
10037009,6,Protein metabolism disorders NEC,0.08
10052776,6,Musculoskeletal and connective tissue infections and inflammations NEC,0.08
10006006,6,Bone related signs and symptoms,0.08
10006484,6,Bronchospasm and obstruction,0.08
10053099,6,Gastrointestinal function diagnostic procedures,0.08
10053171,6,Oesophagitis (excl infective),0.08
10027699,6,Skin injuries NEC,0.08
10028343,5,Muscle tone abnormalities,0.06
10057184,5,Respiratory tract disorders NEC,0.06
10082213,5,Perception disturbances NEC,0.06
10057188,5,Site specific vascular disorders NEC,0.06
10038478,5,Renal lithiasis,0.06
10052725,5,Gynaecological therapeutic procedures NEC,0.06
10030063,5,Ocular sensation disorders,0.06
10052772,5,Lumbar spinal cord and nerve root disorders,0.06
10065874,5,Psoriatic conditions,0.06
10059674,5,Inborn errors of lipid metabolism,0.06
10070968,5,Disorders of purine metabolism,0.06
10028114,5,Mucosal findings abnormal,0.06
10025198,5,Lymphatic system disorders NEC,0.06
10007543,5,Cardiac disorders NEC,0.06
10020666,5,Hyperlipidaemias NEC,0.06
10022971,4,Iron deficiencies,0.05
10021604,4,Inborn errors of carbohydrate metabolism (excl glucose),0.05
10013307,4,Female gonadal function disorders,0.05
10072984,4,Coordination and balance disturbances,0.05
10033121,4,Ovarian and fallopian tube cysts and neoplasms,0.05
10072982,4,Photosensitivity and photodermatosis conditions,0.05
10041273,4,Sodium imbalance,0.05
10022653,4,Intestinal haemorrhages,0.05
10021902,4,Infections NEC,0.05
10005049,4,Bladder infections and inflammations,0.05
10007566,4,Cardiac function diagnostic procedures,0.05
10046577,4,Urinary tract infections,0.05
10014691,4,Endocrine abnormalities of gonadal function NEC,0.05
10043411,4,Therapeutic drug monitoring analyses,0.05
10067226,4,Psychiatric investigations,0.05
10043296,4,Testicular and epididymal disorders NEC,0.05
10009888,4,Colitis (excl infective),0.05
10040466,4,Sexual arousal disorders,0.05
10040489,4,Sexuality issues,0.05
10025480,4,Malabsorption syndromes,0.05
10018009,4,Gastrointestinal stenosis and obstruction NEC,0.05
10000178,4,Abnormal sleep-related events,0.05
10029318,4,Neuromuscular disorders NEC,0.05
10028386,4,Musculoskeletal and soft tissue imaging procedures,0.05
10047792,4,Vulvovaginal signs and symptoms,0.05
10002113,4,Anal and rectal disorders NEC,0.05
10000135,4,Abnormal food elimination,0.05
10036451,3,Potassium imbalance,0.04
10018987,3,Haemorrhages NEC,0.04
10043741,3,Thyroid hypofunction disorders,0.04
10015664,3,Exfoliative conditions,0.04
10027299,3,Menopausal effects NEC,0.04
10037514,3,Pupil disorders,0.04
10055797,3,Gingival haemorrhages,0.04
10068756,3,Withdrawal and rebound effects,0.04
10027685,3,Joint related disorders NEC,0.04
