pt_term,pt_code,n_users,percent_users
hunger,10020466,366,4.68
increased appetite,10021654,1336,17.08
food craving,10056465,571,7.3
lack of satiety,10064720,106,1.35
Increased appetite / hunger / food craving / lack of satiety,10021654,1921,24.56
